Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
WASHINGTON STATE UNIVERSITY,MATH 108 TRIGONOMETRY (2),BELLEVUE COLLEGE,MATH& 142 PRECALCULUS II (5),Quantitative or Sciences,,
WASHINGTON STATE UNIVERSITY,MATH 140 CALCULUS FOR LIFE SCIENTISTS (4),BELLEVUE COLLEGE,MATH& 151 CALCULUS I (5),Quantitative or Sciences,,
WASHINGTON STATE UNIVERSITY,"MATH 171 CALCULUS I (4)
MATH 172 CALCULUS II (4)",BELLEVUE COLLEGE,"MATH& 151 CALCULUS I (5)
MATH& 152 CALCULUS II (5)
MATH& 153 CALCULUS III (5)",Quantitative or Sciences,1/1/1972,
WASHINGTON STATE UNIVERSITY,MATH 182 HONORS CALCULUS II (4),BELLEVUE COLLEGE,MATH& 153 CALCULUS III (5),"Quantitative/Symbolic Reasoning
Natural Sciences",7/1/1972,
WASHINGTON STATE UNIVERSITY,MATH 201 MATHEMATICS FOR BUSINESS AND ECONOMICS (3),BELLEVUE COLLEGE,MATH 138 COLLEGE ALGEBRA FOR BUSINESS & SOCIAL SCIENCE (5),Quantitative or Sciences,,
WASHINGTON STATE UNIVERSITY,MATH 202 CALCULUS FOR BUSINESS AND ECONOMICS (3),BELLEVUE COLLEGE,MATH& 148 BUSINESS CALCULUS (5),Quantitative or Sciences,,
WASHINGTON STATE UNIVERSITY,MATH 205 STATISTICAL THINKING (3),BELLEVUE COLLEGE,MATH 130 INTRODUCTION TO STATISTICS (5),Quantitative or Sciences,,
WASHINGTON STATE UNIVERSITY,MATH 210 INTRODUCTION TO MATHEMATICS (3),BELLEVUE COLLEGE,MATH& 107 MATH IN SOCIETY (5),"Quantitative/Symbolic Reasoning
Natural Sciences",7/1/1997,
WASHINGTON STATE UNIVERSITY,MATH 212 INTRODUCTION TO STATISTICAL METHODS (4),BELLEVUE COLLEGE,MATH 130 INTRODUCTION TO STATISTICS (5),Quantitative skills or Sciences,,
WASHINGTON STATE UNIVERSITY,MATH 216 DISCRETE STRUCTURES (3),BELLEVUE COLLEGE,MATH 301 DISCRETE MATHEMATICS (5),,,
WASHINGTON STATE UNIVERSITY,MATH 220 INTRODUCTORY LINEAR ALGEBRA (2),BELLEVUE COLLEGE,MATH 208 INTRODUCTION TO LINEAR ALGEBRA (5),Quantitative or Sciences,,
WASHINGTON STATE UNIVERSITY,MATH 273 CALCULUS III (2),BELLEVUE COLLEGE,MATH& 254 CALCULUS IV (5),"Quantitative/Symbolic Reasoning
Natural Sciences",7/1/1972,
WASHINGTON STATE UNIVERSITY,MATH 283 HONORS CALCULUS III (2),BELLEVUE COLLEGE,MATH& 254 CALCULUS IV (5),"Quantitative/Symbolic Reasoning
Natural Sciences",7/1/1972,
WASHINGTON STATE UNIVERSITY,MATH 315 DIFFERENTIAL EQUATIONS (3),BELLEVUE COLLEGE,MATH 238 DIFFERENTIAL EQUATIONS (5),Quantitative or Sciences,,
WASHINGTON STATE UNIVERSITY,MBIOS 101 INTRODUCTORY MICROBIOLOGY (4),BELLEVUE COLLEGE,BIOL& 260 MICROBIOLOGY (6),Sciences (Lab),,
WASHINGTON STATE UNIVERSITY,MBIOS 130 NUTRITION FOR LIVING (3),BELLEVUE COLLEGE,NUTR& 101 NUTRITION (5),Sciences (No Lab),,
WASHINGTON STATE UNIVERSITY,ME 116 ENGINEERING COMPUTER-AIDED DESIGN AND VISUALIZATION (2),BELLEVUE COLLEGE,ENGR& 114 ENGINEERING GRAPHICS (4),,,
WASHINGTON STATE UNIVERSITY,ME 212 DYNAMICS (3),BELLEVUE COLLEGE,ENGR& 215 DYNAMICS (4),,,
WASHINGTON STATE UNIVERSITY,MGTOP 215 STATISTICS (4),BELLEVUE COLLEGE,BA 240 STATISTICAL ANALYSIS (5),Transferable Electives,,
WASHINGTON STATE UNIVERSITY,"MUS 151 MUSIC FUNDAMENTALS I (3)
MUS 152 MUSIC FUNDAMENTALS II (3)",BELLEVUE COLLEGE,MUSC 107 FUNDAMENTALS OF MUSIC (5),Humanities,1/1/2006,
