Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CHIN 212 SECOND-YEAR CHINESE FOR HERITAGE LEARNERS (5),BELLEVUE COLLEGE,CHIN& 222 CHINESE V (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CHIN 213 SECOND-YEAR CHINESE FOR HERITAGE LEARNERS (5),BELLEVUE COLLEGE,CHIN& 223 CHINESE VI (5),,,
UNIVERSITY OF WASHINGTON,CMU 203 MASS COMMUNICATIONS AND SOCIETY (5),BELLEVUE COLLEGE,CMST& 102 INTRODUCTION TO MASS MEDIA (5),Social Sciences,1994/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,COM 200 INTRODUCTION TO COMMUNICATION (5),BELLEVUE COLLEGE,CMST& 101 INTRODUCTION TO COMMUNICATION (5),,,
UNIVERSITY OF WASHINGTON,COM 220 INTRODUCTION TO PUBLIC SPEAKING (5),BELLEVUE COLLEGE,CMST& 220 PUBLIC SPEAKING (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,COM 270 INTERPERSONAL COMMUNICATION (5),BELLEVUE COLLEGE,CMST& 210 INTERPERSONAL COMMUNICATION (5),,,
UNIVERSITY OF WASHINGTON,CSE 142 COMPUTER PROGRAMMING I (4),BELLEVUE COLLEGE,CS 210 FUNDAMENTALS OF COMPUTER SCIENCE I (5),Transferable Electives,1994/7/1,
UNIVERSITY OF WASHINGTON,CSE 143 COMPUTER PROGRAMMING II (5),BELLEVUE COLLEGE,CS 211 FUNDAMENTALS OF COMPUTER SCIENCE II (5),Transferable Electives,1994/7/1,
UNIVERSITY OF WASHINGTON,DRAMA 101 INTRODUCTION TO THE THEATRE (5),BELLEVUE COLLEGE,DRMA& 101 INTRODUCTION TO THE THEATRE (5),Humanities,2013/4/1,
UNIVERSITY OF WASHINGTON,DRAMA 201 DRAMATIC ACTION (5),BELLEVUE COLLEGE,DRMA 901 TRANSFER-IN DRAMA THEORY COURSE,Humanities,1994/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,E E 215 FUNDAMENTALS OF ELECTRICAL ENGINEERING (4),BELLEVUE COLLEGE,ENGR& 204 ELECTRICAL CIRCUITS (4),,,
UNIVERSITY OF WASHINGTON,ECON 200 INTRODUCTION TO MICROECONOMICS (5),BELLEVUE COLLEGE,ECON& 201 MICROECONOMICS (5),Social Sciences,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,ECON 201 INTRODUCTION TO MACROECONOMICS (5),BELLEVUE COLLEGE,ECON& 202 MACROECONOMICS (5),Social Sciences,2007/1/1,
UNIVERSITY OF WASHINGTON,"ENGL 104 INTRODUCTORY COMPOSITION (5)
ENGL 105 INTRODUCTORY COMPOSITION (5)",BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,1994/1/1,
UNIVERSITY OF WASHINGTON,"ENGL 109 INTRODUCTORY COMPOSITION (5)
ENGL 110 INTRODUCTORY COMPOSITION (5)",BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,,
UNIVERSITY OF WASHINGTON,ENGL 111 COMPOSITION: LITERATURE (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,1994/7/1,
UNIVERSITY OF WASHINGTON UNDERGRADUATE STUDY,ENGL 121 COMPOSITION: SOCIAL ISSUES (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,2002/1/1,
UNIVERSITY OF WASHINGTON,ENGL 131 COMPOSITION: EXPOSITION (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,,
UNIVERSITY OF WASHINGTON,ENGL 197 INTERDISCIPLINARY WRITING/HUMANITIES (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,1994/1/1,
UNIVERSITY OF WASHINGTON,ENGL 198 INTERDISCIPLINARY WRITING/SOCIAL SCIENCE (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,1994/1/1,
UNIVERSITY OF WASHINGTON,ENGL 199 INTERDISCIPLINARY WRITING/NATURAL SCIENCE (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,1994/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,ENGL 200 READING LITERATURE (5),BELLEVUE COLLEGE,ENGL& 111 INTRODUCTION TO LITERATURE I (5),Humanities,2008/4/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,ENGL 225 SHAKESPEARE (5),BELLEVUE COLLEGE,ENGL& 224 SHAKESPEARE I (5),,,
UNIVERSITY OF WASHINGTON,ENGL 242 READING PROSE FICTION (5),BELLEVUE COLLEGE,ENGL& 112 INTRODUCTION TO FICTION (5),Humanities,1994/1/1,
UNIVERSITY OF WASHINGTON,ENGL 243 READING POETRY (5),BELLEVUE COLLEGE,ENGL& 113 INTRODUCTION TO POETRY (5),Humanities,1994/1/1,
